timestamps,TP9,AF7,AF8,TP10,Right AUX
1761606146.035,-13.672,-42.480,-31.250,-35.156,0.000
1761606146.039,-19.043,-40.527,-28.320,-33.691,0.000
1761606146.043,-19.531,-39.551,-26.855,-34.180,0.000
1761606146.047,-20.996,-42.969,-32.227,-31.250,0.000
1761606146.051,-26.367,-35.156,-30.762,-31.250,0.000
1761606146.055,-36.621,-33.691,-26.367,-32.227,0.000
1761606146.059,-32.715,-41.992,-26.855,-29.785,0.000
1761606146.063,-32.715,-43.945,-24.414,-20.996,0.000
1761606146.067,-43.945,-45.898,-23.438,-17.578,0.000
1761606146.071,-36.621,-45.410,-24.902,-22.949,0.000
1761606146.075,-26.367,-41.504,-27.832,-28.809,0.000
1761606146.078,-10.742,-39.551,-25.879,-8.789,0.000
1761606146.082,-6.836,-38.086,-20.508,-5.859,0.000
1761606146.086,-38.086,-37.598,-11.230,-36.133,0.000
1761606146.090,-50.781,-39.551,-2.441,-38.574,0.000
1761606146.094,-56.641,-41.992,-2.930,-41.992,0.000
1761606146.098,-62.988,-42.969,-6.348,-50.781,0.000
1761606146.102,-56.152,-39.062,-11.719,-48.828,0.000
1761606146.106,-43.945,-38.086,-11.230,-48.828,0.000
1761606146.110,-39.062,-32.227,-8.301,-41.992,0.000
1761606146.114,-37.109,-29.297,-12.695,-35.156,0.000
1761606146.117,-32.715,-31.250,-14.160,-31.250,0.000
1761606146.121,-38.574,-34.180,-14.160,-28.320,0.000
1761606146.125,-36.621,-36.621,-15.137,-20.020,0.000
1761606146.129,-35.645,-34.668,-21.484,-22.461,0.000
1761606146.133,-29.785,-35.645,-20.508,-25.391,0.000
1761606146.137,-19.531,-33.203,-19.043,-20.508,0.000
1761606146.141,-26.367,-28.320,-24.902,-29.297,0.000
1761606146.145,-30.762,-30.762,-22.949,-29.297,0.000
1761606146.149,-33.203,-35.156,-23.438,-29.785,0.000
1761606146.153,-40.039,-38.086,-31.250,-27.344,0.000
1761606146.157,-41.016,-36.133,-32.715,-21.484,0.000
1761606146.160,-38.574,-31.250,-27.832,-30.273,0.000
1761606146.164,-32.715,-27.344,-28.809,-37.109,0.000
1761606146.168,-28.809,-28.320,-27.344,-38.086,0.000
1761606146.172,-26.855,-27.832,-31.250,-39.062,0.000
1761606146.176,-21.484,-30.762,-32.715,-39.062,0.000
1761606146.180,-15.137,-32.227,-28.320,-37.598,0.000
1761606146.184,-26.855,-32.715,-25.879,-26.855,0.000
1761606146.188,-26.367,-33.203,-23.926,-16.113,0.000
1761606146.192,-20.508,-29.785,-26.367,-25.391,0.000
1761606146.196,-25.391,-29.297,-28.809,-30.273,0.000
1761606146.200,-29.785,-31.250,-27.344,-24.902,0.000
1761606146.203,-31.250,-34.668,-27.832,-24.902,0.000
1761606146.207,-30.273,-35.156,-27.832,-27.832,0.000
1761606146.211,-35.645,-32.227,-28.809,-33.203,0.000
1761606146.215,-33.203,-33.691,-30.762,-32.715,0.000
1761606146.219,-26.855,-35.156,-29.297,-24.902,0.000
1761606146.223,-35.156,-31.738,-33.203,-27.832,0.000
1761606146.227,-32.227,-27.344,-35.645,-33.691,0.000
1761606146.231,-32.227,-28.320,-31.250,-22.949,0.000
1761606146.235,-41.504,-28.320,-33.691,-21.973,0.000
1761606146.239,-40.039,-32.227,-32.227,-38.574,0.000
1761606146.243,-41.016,-29.297,-26.367,-36.621,0.000
1761606146.246,-38.086,-20.508,-31.738,-32.227,0.000
1761606146.250,-34.668,-20.996,-30.762,-37.109,0.000
1761606146.254,-42.480,-20.996,-20.508,-32.715,0.000
1761606146.258,-47.852,-23.438,-19.043,-39.551,0.000
1761606146.262,-52.246,-19.531,-22.949,-57.617,0.000
1761606146.266,-54.199,-11.719,-29.785,-53.711,0.000
1761606146.270,-55.176,-14.648,-24.902,-43.945,0.000
1761606146.274,-58.105,-14.648,-24.414,-44.922,0.000
1761606146.278,-59.082,-13.184,-28.809,-52.246,0.000
1761606146.282,-63.965,-2.441,-20.996,-55.664,0.000
1761606146.285,-71.777,17.090,-11.230,-63.477,0.000
1761606146.289,-69.336,4.883,-14.160,-62.012,0.000
1761606146.293,-50.293,-19.043,-31.250,-45.410,0.000
1761606146.297,-41.992,1.465,-1.465,-43.457,0.000
1761606146.301,-69.336,2.930,23.926,-70.801,0.000
1761606146.305,-100.586,-18.555,13.184,-95.703,0.000
1761606146.309,-121.582,-13.184,22.461,-107.910,0.000
1761606146.313,-138.184,-10.742,48.828,-125.977,0.000
1761606146.317,-160.645,-27.344,70.312,-131.836,0.000
1761606146.321,-164.062,-39.551,69.824,-131.348,0.000
1761606146.325,-174.316,-38.086,79.590,-146.973,0.000
1761606146.328,-199.219,-33.203,120.117,-166.992,0.000
1761606146.332,-204.102,-49.805,133.789,-172.852,0.000
1761606146.336,-192.871,-67.383,132.324,-140.625,0.000
1761606146.340,-201.172,-67.383,147.461,-140.137,0.000
1761606146.344,-217.773,-68.848,161.133,-157.227,0.000
1761606146.348,-223.633,-77.637,166.016,-157.227,0.000
1761606146.352,-196.777,-84.961,164.551,-137.207,0.000
1761606146.356,-180.664,-89.355,147.949,-134.766,0.000
1761606146.360,-191.406,-91.797,143.066,-145.996,0.000
1761606146.364,-179.688,-98.145,150.391,-126.953,0.000
1761606146.368,-159.180,-83.008,134.766,-116.211,0.000
1761606146.371,-161.133,-73.242,121.582,-129.395,0.000
1761606146.375,-166.504,-76.660,121.094,-129.883,0.000
1761606146.379,-159.668,-82.031,128.418,-109.863,0.000
1761606146.383,-140.137,-75.195,114.746,-97.168,0.000
1761606146.387,-114.746,-54.199,86.914,-88.867,0.000
1761606146.391,-103.027,-55.176,81.543,-82.520,0.000
1761606146.395,-104.004,-49.316,71.777,-91.797,0.000
1761606146.399,-98.633,-32.715,62.500,-89.844,0.000
1761606146.403,-85.938,-23.926,51.758,-79.102,0.000
1761606146.407,-94.727,-34.668,35.645,-84.473,0.000
1761606146.410,-96.191,-46.875,20.996,-66.406,0.000
1761606146.414,-73.730,-35.645,21.973,-54.199,0.000
1761606146.418,-70.312,-21.484,28.809,-78.125,0.000
1761606146.422,-83.496,-31.250,14.160,-77.637,0.000
1761606146.426,-82.520,-38.086,-12.695,-76.172,0.000
1761606146.430,-64.453,-16.113,-19.531,-74.219,0.000
1761606146.434,-76.172,-6.348,-15.625,-84.473,0.000
1761606146.438,-94.727,-18.555,-9.766,-91.309,0.000
1761606146.442,-76.172,-16.113,-8.301,-72.266,0.000
1761606146.446,-67.383,-15.625,-7.812,-74.707,0.000
1761606146.450,-69.336,-12.695,-24.902,-81.055,0.000
1761606146.453,-67.383,-7.324,-48.340,-73.242,0.000
1761606146.457,-54.199,-2.441,-37.598,-53.223,0.000
1761606146.461,-61.523,0.977,-26.367,-62.500,0.000
1761606146.465,-89.844,-14.160,-35.645,-97.656,0.000
1761606146.469,-70.801,-12.695,-39.062,-77.637,0.000
1761606146.473,-54.199,-5.859,-31.250,-56.641,0.000
1761606146.477,-64.453,-7.812,-29.297,-70.312,0.000
1761606146.481,-70.801,-5.371,-32.227,-81.543,0.000
1761606146.485,-61.035,8.789,-32.715,-83.008,0.000
1761606146.489,-72.754,7.324,-26.367,-91.309,0.000
1761606146.493,-88.867,-12.695,-18.555,-90.332,0.000
1761606146.496,-70.312,1.465,-27.344,-78.613,0.000
1761606146.500,-71.777,10.742,-26.855,-85.449,0.000
1761606146.504,-73.242,26.367,-16.602,-86.914,0.000
1761606146.508,-78.125,28.809,-15.625,-89.355,0.000
1761606146.512,-87.402,-1.465,-10.254,-94.727,0.000
1761606146.516,-92.773,5.859,-6.836,-98.633,0.000
1761606146.520,-92.285,28.809,-6.348,-92.773,0.000
1761606146.524,-84.473,24.902,-12.695,-81.543,0.000
1761606146.528,-94.727,11.719,-16.113,-95.215,0.000
1761606146.532,-96.191,15.137,-8.301,-105.469,0.000
1761606146.535,-109.375,31.250,0.488,-116.211,0.000
1761606146.539,-119.629,36.621,4.395,-121.094,0.000
1761606146.543,-105.469,25.391,8.301,-100.098,0.000
1761606146.547,-102.051,19.043,12.207,-101.562,0.000
1761606146.551,-107.422,23.438,8.301,-123.535,0.000
1761606146.555,-91.309,23.926,1.953,-121.582,0.000
1761606146.559,-93.262,18.066,15.625,-105.469,0.000
1761606146.563,-123.535,17.578,14.160,-117.188,0.000
1761606146.567,-124.023,22.461,1.953,-125.977,0.000
1761606146.571,-111.328,27.344,-2.930,-123.535,0.000
1761606146.575,-113.770,27.344,-1.953,-126.953,0.000
1761606146.578,-113.281,8.301,22.461,-112.793,0.000
1761606146.582,-117.676,-9.277,28.320,-119.629,0.000
1761606146.586,-111.816,0.977,11.230,-114.746,0.000
1761606146.590,-116.211,9.277,8.301,-115.723,0.000
1761606146.594,-124.512,-0.977,12.695,-124.512,0.000
1761606146.598,-107.422,-6.836,9.277,-105.957,0.000
1761606146.602,-107.422,15.625,3.418,-106.445,0.000
1761606146.606,-116.211,18.066,2.441,-118.164,0.000
1761606146.610,-107.422,-3.906,-3.418,-112.305,0.000
1761606146.614,-103.027,-1.953,-9.766,-113.770,0.000
1761606146.618,-110.840,6.836,-8.301,-118.652,0.000
1761606146.621,-104.492,0.488,-5.371,-103.516,0.000
1761606146.625,-101.074,-9.277,7.812,-101.074,0.000
1761606146.629,-105.469,-2.441,11.719,-108.398,0.000
1761606146.633,-105.469,1.953,-2.930,-113.281,0.000
1761606146.637,-104.492,-6.836,-14.648,-115.234,0.000
1761606146.641,-86.426,-2.930,-11.230,-88.379,0.000
1761606146.645,-86.426,-7.324,-8.789,-80.566,0.000
1761606146.649,-103.516,-16.602,1.465,-90.332,0.000
1761606146.653,-100.586,-17.578,8.789,-95.703,0.000
1761606146.657,-91.797,-9.277,-12.695,-105.469,0.000
1761606146.660,-88.379,-5.371,-14.648,-99.609,0.000
1761606146.664,-99.121,-17.090,0.000,-96.191,0.000
1761606146.668,-94.727,-14.160,-1.465,-92.285,0.000
1761606146.672,-81.543,-8.789,0.977,-89.844,0.000
1761606146.676,-78.125,-13.672,-2.930,-82.031,0.000
1761606146.680,-66.895,-17.090,-9.766,-77.637,0.000
1761606146.684,-71.777,-17.090,1.953,-80.078,0.000
1761606146.688,-82.031,-27.344,3.418,-81.055,0.000
1761606146.692,-73.730,-40.527,-8.789,-67.871,0.000
1761606146.696,-62.012,-28.320,-16.113,-58.594,0.000
1761606146.700,-73.242,-20.508,-24.414,-78.125,0.000
1761606146.703,-78.613,-27.344,-27.832,-82.031,0.000
1761606146.707,-59.082,-20.020,-20.020,-60.059,0.000
1761606146.711,-49.805,-20.996,-10.254,-54.199,0.000
1761606146.715,-62.988,-26.855,-20.508,-65.918,0.000
1761606146.719,-56.641,-16.602,-24.414,-53.223,0.000
1761606146.723,-38.086,-20.996,-21.973,-38.086,0.000
1761606146.727,-30.762,-27.344,-22.949,-32.227,0.000
1761606146.731,-41.504,-25.391,-10.254,-40.527,0.000
1761606146.735,-54.688,-26.855,-8.301,-58.594,0.000
1761606146.739,-54.199,-25.879,-19.531,-65.918,0.000
1761606146.743,-48.340,-26.855,-21.973,-54.688,0.000
1761606146.746,-42.969,-32.227,-22.461,-43.457,0.000
1761606146.750,-39.062,-33.691,-20.020,-45.410,0.000
1761606146.754,-45.898,-28.320,-18.066,-38.086,0.000
1761606146.758,-48.828,-28.809,-22.949,-31.738,0.000
1761606146.762,-29.297,-29.297,-30.762,-25.879,0.000
1761606146.766,-19.043,-31.250,-30.273,-19.531,0.000
1761606146.770,-31.738,-33.203,-22.461,-26.367,0.000
1761606146.774,-39.062,-29.785,-19.531,-30.762,0.000
1761606146.778,-27.344,-27.832,-32.227,-24.902,0.000
1761606146.782,-7.324,-29.297,-35.645,0.000,0.000
1761606146.785,0.977,-32.227,-22.949,10.254,0.000
1761606146.789,-7.324,-36.133,-22.949,-8.789,0.000
1761606146.793,-30.273,-48.340,-23.438,-22.949,0.000
1761606146.797,-29.785,-57.617,-25.879,-22.461,0.000
1761606146.801,5.371,-51.758,-19.531,5.371,0.000
1761606146.805,5.859,-51.758,-12.695,12.207,0.000
1761606146.809,-15.625,-56.152,-12.695,-5.859,0.000
1761606146.813,-16.113,-56.152,-24.902,-10.742,0.000
1761606146.817,-5.859,-60.547,-30.273,-1.465,0.000
1761606146.821,-7.324,-62.012,-26.855,1.465,0.000
1761606146.825,-13.672,-59.570,-21.484,-4.395,0.000
1761606146.828,-11.719,-66.895,-28.320,-3.906,0.000
1761606146.832,-9.766,-64.453,-44.434,-0.977,0.000
1761606146.836,-14.160,-60.547,-47.852,-11.719,0.000
1761606146.840,-8.789,-62.988,-35.156,-10.254,0.000
1761606146.844,-6.348,-62.988,-31.738,-5.859,0.000
1761606146.848,1.953,-65.430,-36.133,2.930,0.000
1761606146.852,7.324,-62.500,-32.715,10.254,0.000
1761606146.856,-0.488,-66.406,-33.203,6.836,0.000
1761606146.860,-2.441,-71.289,-42.480,0.977,0.000
1761606146.864,3.418,-62.500,-48.828,0.977,0.000
1761606146.867,7.812,-55.664,-33.691,7.324,0.000
1761606146.871,-1.953,-63.965,-29.785,1.465,0.000
1761606146.875,-6.836,-66.895,-39.062,5.371,0.000
1761606146.879,-4.395,-68.848,-33.203,7.812,0.000
1761606146.883,11.230,-71.289,-34.180,15.625,0.000
1761606146.887,17.578,-64.941,-41.992,22.461,0.000
1761606146.891,4.883,-59.082,-41.504,2.930,0.000
1761606146.895,-3.418,-59.082,-38.574,-14.160,0.000
1761606146.899,-16.602,-60.547,-37.598,-18.066,0.000
1761606146.903,-15.625,-63.477,-47.852,-8.789,0.000
1761606146.907,-0.488,-65.430,-48.828,-5.371,0.000
1761606146.910,-28.320,-69.824,-48.828,-38.086,0.000
1761606146.914,-53.223,-62.500,-38.574,-47.363,0.000
1761606146.918,-24.902,-52.246,-27.832,-13.672,0.000
1761606146.922,-4.395,-60.547,-33.691,0.000,0.000
1761606146.926,-14.648,-60.059,-30.273,-13.184,0.000
1761606146.930,-26.855,-52.734,-27.832,-17.578,0.000
1761606146.934,-16.113,-50.293,-31.250,-6.348,0.000
1761606146.938,-14.160,-52.246,-35.645,-16.602,0.000
1761606146.942,-25.879,-56.641,-25.879,-27.832,0.000
1761606146.946,-30.273,-57.129,-19.531,-20.996,0.000
1761606146.950,-23.926,-57.617,-20.020,1.465,0.000
1761606146.953,-31.738,-60.547,-17.090,-5.371,0.000
1761606146.957,-27.832,-61.523,-11.719,-9.766,0.000
1761606146.961,-6.836,-63.965,-11.230,8.301,0.000
